artist,album
Peter Gabriel,So
Peter Gabriel,Us
Sting,Ten Summoner’s Tales
Sting,The Soul Cages
Sting,Mercury Falling
Sting,Brand New Day
Sting,Bring On The Night
The Police,Synchronicity
The Beatles,A Hard Day’s Night
The Beatles,Help!
The Beatles,Sgt. Pepper’s Lonely Hearts Club Band
The Beatles,White Album
Allan Holdsworth,Secrets
Allan Holdsworth,I. O. U.
Allan Holdsworth,The Sixteen Men of Tain
Allan Holdsworth,Metal Fatigue
Michael Brecker,Tales From The Hudson
Michael Brecker,Pilgrimage
Pat Metheny,Bright Size Life
Pat Metheny Group,We Live Here
Keith Jarrett,Tokyo 96’
"Anna Maria Jopek, Pat Metheny",Upojenie
Chris Botti,Night Sessions
Toto,IV
Toto,Falling In Between
"Leszek Możdżer, Lars Danielsson, Zohar Fresco",The Time
Gary Burton,Times Like These
Jamiroquai,Emergency on Planet Earth
Jamiroquai,Dynamite
Jamiroquai,Travelling Without Moving
Jamiroquai,Rock Dust Light Star
Poluzjanci,Tak po prostu
Poluzjanci,Druga Płyta
Porcupine Tree,In Absentia
Porcupine Tree,Deadwing
Porcupine Tree,Fear of Blank Planet
Cezary Konrad,One Mirror... Many Reflections
Damage Control,Damage Control
Yellowjackets,Yellowjackets
Yellowjackets,Politics
Dave Weckl,Master Plan
Dave Weckl,Synergy
Chick Corea,Now He Sings
Chick Corea,Now He Sobs
Chick Corea,The Mad Hatter
Chick Corea,Leprechaun
Chick Corea,Light as a Feather
Chick Corea,Chick Corea Elektric Band Live From The Blue Note Tokyo
Chick Corea,Corea
Chick Corea,Patitucci
Chick Corea,Sanchez – Dr. Joe
Miles Davis,Kind Of Blue
Miles Davis,Miles Smiles
Miles Davis,Nefertiti
Miles Davis,Four and More
Miles Davis,Bitches Brew
Miles Davis,Tutu
"Trio Beyond (Jack DeJohnette, John Scofield, Larry Goldings)",Saudades
Manu Katche,It’s about time
Dire Straits,Brothers In Arms
Gavin Harrison,Cheating The Polygraph
Dizrhythmia,Dizrhythmia Too
Gavin Harrison & 05Ric,Circles
Michel Camilo,One More Once
Pineapple Thief,Dissolution
Pineapple Thief,Your Wilderness
Varius Manx,Elf
Varius Manx,Emu
Varius Manx,Ego
Woobie Doobie,The Album
Woobie Doobie,Bootla
Depeche Mode,Songs Of Faith And Devotion
Depeche Mode,Ultra
Depeche Mode,Violator
Edyta Bartosiewicz,Szok’n’Show
Edyta Bartosiewicz,Dziecko
Edyta Bartosiewicz,Wodospady
George Michael,Older
Obywatel G.C.,Obywatel G.C.
Obywatel G.C.,Tak! Tak!
Obywatel G.C.,Obywatel Świata
Simply Red,Stars
Talk Talk,The Colour of Spring
Tears For Fears,Songs From The Big Chair
Tears For Fears,The Seeds Of Love
Tracy Chapman,Tracy Chapman
Jeff Beck,Jeff Beck with the Jan Hammer Group Live
Jeff Beck,Live at Ronnie Scott's
Tomasz Stańko,Balladyna
Tomasz Stańko,Egzekutor
Tomasz Stańko,Reich
Tomasz Stańko,Soul of Things
Tomasz Stańko,Suspended Night
Tomasz Stańko,Lontano
Anton Fig,Figments
Brecker Brothers,Return of the Brecker Brothers
Billy Cobham,Spectrum
Herbie Hancock,Maiden Voyage
Herbie Hancock,VSOP
Herbie Hancock,Speak Like a Child
Herbie Hancock,Mr. Hands
Stravinsky,Bernstein / The London Symphony Orchestra ‎– The Rite Of Spring
"Mariinsky Orchestra, Valery Gergiev",Shostakovich: Symphonies Nos.2 & 11
"St. Petersburg Kirov Orchestra, Gergiev",Rimsky-Korsakov: Scheherazade
Tribal Tech,Tribal Tech
"Beth Gibbons, Orkiestra Symfoniczna Polskiego Radia pod dyrekcją Krzysztofa Pendereckiego",Górecki: Symphony No. 3 (Symphony Of Sorrowful Songs)
"Polish National Radio Symphony Orchestra, Camerata Silesia, Wit",Lutoslawski: Concerto for Orchestra
"Berliner Philharmoniker, Herbert von Karajan",Bartók: Concerto for Orchestra
"Berliner Philharmoniker, Herbert von Karajan","Music for Strings, Percussion & Celesta"
Steve Reich,Drumming
Vinnie Colaiuta,Vinnie Colaiuta
"Colaiuta, Hasslip, Ford",Jing Chi
Frank Zappa,Joe’s Garage
Nik Kershaw,The Works
Michael Jackson,Thriller
Michael Jackson,Bad
John Coltrane,A Love Supreme
Wynton Marsalis / Kenny Kirkland,Black Codes
Bruce Springsteen,Streets of Philadelphia
U2,War
Fleetwood Mac,Tango In The Night
Eric Clapton,ERIC CLAPTON 24 NIGHTS Live from Royal Albert
Mr. Mister,Welcome to the Real World
Cutting Crew,Broadcast
Chris Rea,On the Beach
The GRP All,Star Big Band – GRP All-Star Big Band
Tower of Power,Back to Oakland
Stevie Wonder,Songs In The Key Of Life
Paul Young,Every Time You Go Away
Czesław Niemen,Aerolit
Youssou N’Dour,The Guide (Wommat)
Gary Husband,Dirty And Beautiful
Jaco Pastorius,Jaco Pastorius
Weather Report,Heavy Weather
Włodek Pawlik Trio,Anhelli
Karizma,Document
Red Hot Chili Peppers,Californication
Led Zeppelin,Led Zeppelin
Oasis,(What's the Story) Morning Glory?
James Brown,Cold Sweat
John Scofield,Blue Matter
Michell Petrucciani,Trio in Tokyo (Live)
Jojo Mayer/Nerve,Prohibited Beatz
Herbie Hancock Quintet,Live in Vienne (2002)
The Human League,Crash
Hall & Oates,Big Bam Boom
Al Di Meola,Casino
Mark Egan,Truth Be Told
Gary Husband,The Things I See
Alan Silvestri,Forrest Gump: The Soundtrack
Angelo Badalamenti,Soundtrack from Twin Peaks
Tony Williams,Ego
Simon Phillips,Protocol
John Debney,The Passion of the Christ (Soundtrack)
"Eleni Karaindrou, Jan Garbarek, Kim Kashkashian, Vangelis Christopoulos",Concert In Athens (Live In Athens / 2010)
